pdbid entity method              res-ion   resid chain dih1            dih2            dih3            dih4            dih5            dih6            
3cxh  1      X-ray diffraction   2.5       4010  C     -161.2029864066 -176.7386560751 179.5546430926  60.9095634371   146.4967589768  -1.1587930924   
3cxh  1      X-ray diffraction   2.5       4110  N     178.6542246151  -110.2181527675 -179.2387800775 59.6649671454   131.9976241940  -0.3835669886   
3cx5  1      X-ray diffraction   1.9       4010  C     171.4307150003  -90.0625488095  -179.0150660469 57.7866374582   151.2182622013  -0.2089570356   
3cx5  1      X-ray diffraction   1.9       4110  N     -175.1018911448 -131.8938745159 179.5816097164  60.5262717497   142.5406183054  0.2849145134    
5klv  1      X-ray diffraction   2.652     1004  C     -179.7170820314 -157.5934207641 23.6054691486   138.8973494397  117.4122619848  139.8845414396  
4rpe  1      X-ray diffraction   1.6       702   A     179.5967720893  170.2526145882  -121.8743725651 -169.1578680186 -143.0510525176 -58.9729554427  
6ymx  1      Electron Microscopy 3.17      404   C     175.1951453399  170.4812666905  121.9567527012  94.0034220198   132.4941309429  -20.8349155698  
6ymx  1      Electron Microscopy 3.17      404   N     -169.9911968784 120.9920100324  -167.6531171979 115.3420853878  141.6538368365  -17.1428724243  
6giq  1      Electron Microscopy 3.23      404   C     -172.9368664139 -162.6399237064 -138.9989456105 128.3051530386  151.9235413111  -35.1995927200  
6giq  1      Electron Microscopy 3.23      406   N     -132.3691450154 159.4667060015  -174.1999906971 131.8882169504  146.3479554504  -31.1383909362  
6nhg  1      X-ray diffraction   2.8       1004  C     155.1538893358  175.0737247051  41.7298740685   101.3987540077  131.5759372442  165.6868732335  
3ar5  1      X-ray diffraction   2.2       1011  A     -91.8294667229  -141.0039026516 168.5186290500  141.4646700240  124.6641093153  45.8545665287   
3ar5  1      X-ray diffraction   2.2       1013  A     -115.4454620652 -159.5171958348 169.3600848772  -167.5991325072 -158.2791424785 -1.1948873501   
3ar5  1      X-ray diffraction   2.2       1012  A     41.0404492835   101.3326317876  -165.5118655479 -69.5376163741  -144.8565762940 171.6375987538  
